MIAPPE				
MIAPPE Check list	Definition	Example	Format	Cardinality
Investigation	Investigations are research programmes with defined aims. They can exist at various scales (for example, they could encompass a grant-funded programme of work, the various components comprising a peer-reviewed publication, or a single experiment).			1 per MIAPPE submission
Investigation unique ID	Identifier comprising the unique name of the institution/database hosting the submission of the investigation data, and the accession number of the investigation in that institution.	EBI:12345678	Unique identifier	0-1
Investigation title	Human-readable string summarising the investigation.	Adaptation of Maize to Temperate Climates: Mid-Density Genome-Wide Association Genetics and Diversity Patterns Reveal Key Genomic Regions, with a Major Contribution of the Vgt2 (ZCN8) Locus.	Free text (short)	1
Investigation description	Human-readable text describing the investigation in more detail.	The migration of maize from tropical to temperate climates was accompanied by a dramatic evolution in flowering time. To gain insight into the genetic architecture of this adaptive trait, we conducted a 50K SNP-based genome-wide associationand diversity investigation on a panel of tropical and temperate American and European representatives.	Free text	0-1
Submission date	Date of submission of the dataset presently being described to a host repository.	2012-12-17	Date/Time (ISO 8601, optional time zone)	0-1
Public release date	Date of first public release of the dataset presently being described.	2013-02-25	Date/Time (ISO 8601, optional time zone)	0-1
License	License for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC BY-SA 4.0 Unreported	Unique identifier	0-1
MIAPPE version	The version of MIAPPE used.	1,1	Software version number	1
Associated publication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi:10.1371/journal.pone.0071377	DOI	0+
Study	A study (or experiment) comprises a series of assays (or measurements) of one or more types, undertaken to answer a particular biological question.			1+ per investigation
Study unique ID	Unique identifier comprising the name or identifier for the institution/database hosting the submission of the study data, and the identifier of the study in that institution.	EBI:12345678, http://phenome-fppn.fr/maugio/2013/t2351	Unique identifier	0-1
Study title	Human-readable text summarising the study	2002 evaluation of flowering time for a panel of 375 maize lines at the experimental station of Maugio (France). 	Free text (short)	1
Study description	Human-readable text describing the study	2002 evaluation of male and female flowering time for a panel of 375 maize lines representing the worldwide genetic diversity at the experimental station of Maugio, France. 	Free text	0-1
Start date of study	Date and, if relevant, time when the experiment started	"2002-04-04; 2006-09-27T10:23:21+00:00"	Date/Time (ISO 8601, optional time zone)	1
End date of study	Date and, if relevant, time when the experiment ended	2002-11-27	Date/Time (ISO 8601, optional time zone)	0-1
Contact institution	Name and address of the institution responsible for the study.	UMR de Génétique Végétale, INRA – Université Paris-Sud – CNRS, Gif-sur-Yvette, France	Free text (short)	1
Geographic location (country)	The country where the experiment took place, either as a full name or preferably as a 2-letter code.	FR	Country name or 2-letter code (ISO 3166)	1
Experimental site name	The name of the natural site, experimental field, greenhouse, phenotyping facility, etc. where the experiment took place.	INRA, UE Diascope - Chemin de Mezouls - Domaine expérimental de Melgueil - 34130 Mauguio - France	Free text (short)	1
Geographic location (latitude)	Latitude of the experimental site in degrees, in decimal format.	+43.619264	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
Geographic location (longitude)	Longititute of the experimental site in degrees, in decimal format.	+3.967454	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
Geographic location (altitude)	Altitude of the experimental site, preferably provided in metres (m).	100m	Numeric	0-1
Description of statistical design	Short description of the statistical design.	Lines were repeated twice at each location using a complete block design. In order to limit competition effects, each block was organized into four sub-blocks corresponding to earliness groups based on a priori information. https://urgi.versailles.inra.fr/files/ephesis/181000503/181000503_plan.xls	Free text	1
Type of statistical design	Type of statistical design of the study, in the form of an accession number from the Crop Ontology.	CO_715:0000145	"Crop Ontology term (subclass of ""CO_715:0000003"")"	0-1
Observation unit levels	Hierarchy of the different levels of repetitions between each others	block>rep>plot	Formatted text (level>level)	0-1
Observation unit description	General description of the observation units in the study.	Observation units consisted in individual plots themselves consisting of a row of 15 plants at a density of approximately six plants per square meter	Free text	1
Description of growth facility	Short description of the facility in which the study was carried out.	field environment condition	Free text (short)	1
Type of growth facility	Type of growth facility in which the study was carried out, in the form of an accession number from the Crop Ontology.	CO_715:0000162	"Crop Ontology term (subclass of ""CO_715:0000005"")"	0-1
Cultural practices	General description of the cultural practices of the study.	Irrigation was applied according needs during summer to prevent water stress.	Free text	0-1
Map of experimental design	Representation of the experimental design.		gis or excel file	0-n
Person	"A human involved in the investigation or specifically any of its studies.
"			1+ per investigation/study
Person name	The name of the person (either full name or as used in scientific publications)	Ines Chaves	Name	1
Person email	The electronic mail address of the person.	ichaves@itqb.unl.pt	email address	0-1
Person ID	An identifier for the data submitter. If that submitter is an individual, ORCID identifiers are recommended.	"orcid.org/0000-0001-6494-0008; orcid.org/0000-0002-7054-800X"	Unique identifier	0-1
Person role	Type of contribution of the person to the investigation	"data submitter; author; corresponding author"	Free text (short)	0+
Person affiliation	The institution the person belongs to	ITQB, Portugal	Free text (short)	1+
Data File	A file or digital object holding observation data recorded during one or more assays of the study, typically in tabular form. Multiple data files may be provided per study, and each file can include observations for several observation units and several observed variables.			0+ per study
Data file link	"Link to the data file (or digital object) in a public database or institutional repository; or identifier of the data file when submitted together with the MIAPPE submission."	http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-32551/	URL or File name	1
Data file description	Description of the format of the data file. May be a standard file format name, or a description of organization of the data in a tabular file.	"FASTA; tab-delineated, column headers headers: 1. A 2. B 3. C"	Free text (short)	1
Data file version	The version of the dataset (the actual data).	1.0	Software version number	1
Biological Material	The biological material being studied (e.g. plants grown from a certain bag or seed, or plants grown in a particular field). The original source of that material (e.g., the seeds or the original plant cloned) is called the material source, which, when held by a material repository, should have its stock identified.			"1+ per study;
0+ per observation unit"
Biological material ID Code used to identify the biological material in the data file. Should be unique within the Investigation. Can correspond to experimental plant ID, seed lot ID, etc...	"INRA:W95115_inra_2001; INRA:inra_kernel_2351; Rothamsted:rres_GK090847"	Unique identifier	1
Organism	An identifier for the organism at the species level. Use of the NCBI taxon ID is recommended. 	NCBI:4577 	Unique identifier	1
Genus	Genus name for the organism under study, according to standard scientific nomenclature.	"Zea; Solanum"	Genus name	0-1
Species	Species name for  the organism under study, according to standard scientific nomenclature.	"mays; lycosperium x pennellii"	Species name	0-1
Biological material latitude	Latitude of the studied biological material. [Alternative identifier for in situ material]	+39.067	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
Biological material longitude	Longitude of the studied biological material. [Alternative identifier for in situ material]	-8,73	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
Biological material altitude	Altitude of the studied biological material, preferably provided in metres (m). [Alternative identifier for in situ material]	10m	Numeric	0-1
Biological material coordinates uncertainty	Circular uncertainty of the coordinates, preferably provided in meters (m). [Alternative identifier for in situ material]	200m	Numeric	0-1
Biological material preprocessing	Description of any process or treatment applied uniformely to the biological material, prior to the study itself. Can be provided as free text or as an accession number from a suitable controlled vocabulary.	"EO:0007210 - PVY(NTN); transplanted from study http://phenome-fppn.fr/maugio/2013/t2351 observation unit ID : pot:894"	Plant Environment Ontology and/or free text	0+
Material source ID (Holding institute/stock centre, accession)	"An identifier for the source of the biological material, in the form of a key-value pair comprising the name/identifer of the repository from which the material was sourced plus the accession number of the repository for that material. Where an accession number has not been assigned, but the material has been derived from the crossing of known accessions, the material can be defined as follows: ""mother_accession X father_accession"", or, if father is unknown, as ""mother_accession X UNKNOWN"". For in situ material, the region of provenance may be used when an accession is not available."	"INRA:W95115_inra; ICNF:PNB-RPI ."	Unique identifier	0-1
Material source DOI	Digital Object Identifier (DOI) of the material source	doi:10.15454/1.4658436467893904E12	DOI	0-1
Material source latitude	Latitude of the material source. [Alternative identifier for in situ material]	+39.067	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
Material source longitude	Longitude of the material source. [Alternative identifier for in situ material]	-8,73	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
Material source altitude	Altitude of the material source, preferably provided in metres (m). [Alternative identifier for in situ material]	10m	Numeric	0-1
Material source coordinates uncertainty	Circular uncertainty of the coordinates, preferably provided in meters (m). [Alternative identifier for in situ material]	200m	Numeric	0-1
Material source description	Description of the material source	Branches were collected from a 10-year-old tree growing in a progeny trial established in a loamy brown earth soil	Free text	0-1
Environment	An environmental parameters or experimental conditions that was kept constant throughout the study and did not change betweeen observation units or assays.			0-1 per study
Environment parameter	Name of the environment parameter	"List environmental parameters in attachment to main MIAPPE table.
Examples: air temperature; rooting medium; medium composition; plot size"	Free text (see Appendix I)	1+
Environment parameter value	Value of the environment parameter.	"Value for each of the above parameters.
Examples: 22 °C; Ca: 5 mg/L"	Free text	1 per parameter
Factor	The object of a study is to ascertain the impact of one or more factors on the biological material. Thus, a factor is, by definition a condition that varies between observation units, which may be biotic (pest, disease interaction) or abiotic (treatment and cultural practice) in nature.			"0+ per study;
0+ per observation unit"
Factor type	Name/Acronym of the factor.	Watering	Free text (see Appendix II)	1+
Factor description	Free text description of the factor. This include all relevant treatments planificaito and protocole considered for all the plant targeted by a given factor.	Daily watering 1L per plant. 	Free text	0-1
Factor values	List of possible values for the factor.	"Watered; Unwatered"	Free text	2+ per factor
Event	An event is discrete occurrence at a particular time in the experiment (which can be natural, such as rain, or unnatural, such as planting, watering, etc). Events may be the realization of Factors or parts of Factors, or may be confounding to Factors. Can be applied at the whole study level or to only a subset of observation units.			0+ per study/observation unit
Event type	Short name of the event.	"Planting; Watering; Fertilizing; Herbicide"	Free text (short)	1
Event acession number	Accession number of the event type in a suitable controlled vocabulary (Crop Ontology) if available.	"CO_715:0000011; CO_715:0000007 "	Crop Ontology term (subclass of CO_715:0000006)	0-1
Event description	Description of the event, including details such as amount applied and possibly duration of the event. 	"Grafting; 
Fertilizer application, Ammonium nitrate at 3 kg/m2; 
sowing"	Free text	0-1
Event date	Date and time of the event.	"2006-09-27T10:23:21+00:00;
2006-10-27T10:23:21+00:00;
2006-02-13T10:23:21+00:00"	Date/Time (ISO 8601, optional time zone)	1+
Observation Unit	Observation units are objects that are subject to particular instances of observsation and measurement. An observation unit comprises one or more plants, and their environment. Synonym : Experimental unit.			1+ per study
Observation unit ID	Identifier used to identify the observation unit in data files containing the values observed or measured on that unit. Must be locally unique	plot:894	Unique identifier	1
Observation unit type	Type of observation unit in textual form.	block, sub-lock, plot, plant, trial, sample, pot, replication or replicate, individual, virtual_trial, unit-parcel	Free text	1
