Experimental Factors			
Non-exhaustive list of Experimental Factors.  			
Factor type	Definition	Example factor values	Format
Seasonal environment	A plant treatment (EO:0001001) involving an exposure to a given conditions of regional seasons.	Spring season; dry season	Plant Environment Ontology:'EO_0007038'
Air treatment regime	The treatment involving an exposure to wind/air with varying degree of temperature, which may depend on the study type or the regional environment.	28/25°C ( Day/Night )	Plant Environment Ontology:'EO_0007161'
Soil temperature regime	A physical plant treatment (EO:0007316) involving an exposure to varying degree of temperature, which may depend on regional environment.	27/25°C ( Day/Night )	Plant Environment Ontology:'EO_0007161'
Soil treatment regime	The treatment (EO:0007049) involving growing plants and exposing them to soil growth media with varying contents	sand content (10% v/v)	Plant Environment Ontology:'EO_0007161'
Antibiotic regime	A chemical treatment (EO:0007189) involving the use of antibiotic for selection purposes.	actinomycin D; 20mM;20ml per plant; Every week	Plant Environment Ontology:'EO_0007041'
Chemical administration	An abiotic plant treatment (EO:0007191) involving the application of chemical(s).	Bion; 13,5mM; 5ml per plant; Every 15 days.	Plant Environment Ontology:'EO_0007189'
Biotic treatment	A plant treatment (EO:0001001) involving the application of a biotic or biological factor such as a microbe, insect, animal, or plant or a combination thereof	rice tungro bacilliform virus (RTBV) 2.5 µl, incubated at room temperature for 10min	Plant Environment Ontology:'EO_0007357'
Fertilizer regime	A plant nutrient treatment (EO:0007241) involving the use of a fertilizer, a combination of plant nutrients.	Potassium phosphate; 50 Kg P.Ha/y 50 Kg K.Ha/y	Plant Environment Ontology:'EO_0007085'
Fungicide regime	A treatment (EO:0007167) involving the application of a fungicide; a chemical entity or mixture of chemical entities.	Benzothiadiazole; 10mM; 1ml; Every month	Plant Environment Ontology:'EO_0007268'
Gaseous regime	A physical plant treatment (EO:0007316) involving the application of a gas or a combination of gasses.	Carbon Dioxide; 20ppm	Plant Environment Ontology:'EO_0007023'
Gravity	The treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity.	Zero gravity (International space station)	Plant Environment Ontology:'EO_0007146'
Plant hormone regime	A chemical treatment (EO:0007189) involving the use of growth hormones to study various types of responses on their extrinsic and/or intrinsic application.	Jasmonic acid; 1mM;20ml;	Plant Environment Ontology:'EO_0007165'
Herbicide regime	A treatment (EO:0007167) involving the application of a herbicide; a chemical entity or mixture of chemical entities.	SUREWET (Polyvinyl polymer and nonionic surfactant); 1,75mM; 5ml per plant; Sprayed every month	Plant Environment Ontology:'EO_0007183'
Mechanical treatment	A treatment involving the application of a mechanical force	Wounding, bending	Plant Environment Ontology:'EO_0007373' / Text
Chemical regime	A chemical treatment (EO:0007189) involving the application of inorganic chemicals, nutriment, organic chemicals, etc. as supplement to study various types of responses	Cd 0.5 mg/L (Hydroponics), CdCl2 15mg.Cd/kg (soil)	Plant Environment Ontology:'EO_0007044'
Humidity regimen	A treatment involving an exposure to varying degree of humidity, which may depend on regional environment.	56%/70% (Day/Night)	Plant Environment Ontology:'EO_0007359'
Radiation (light, UV-B, X-ray) regime	A physical plant treatment (EO:0007316) involving an exposure with a radiation type, intensity or quantity. EMR is classified according to the frequency of its wave. The electromagnetic spectrum, in order of increasing frequency and decreasing wavelength, consists of radio waves, microwaves, infrared radiation, visible light, ultraviolet radiation, X-rays and gamma rays. (from Wikipedia).	200-280nm; 30min; every day	Plant Environment Ontology:'EO_0007151'
Rainfall regime	Treatment involving an exposure to a given amount of rainfall.	79 rainfall events; 15,6mm (mean size)	Plant Environment Ontology:'EO_0007181'
Salt regime	This treatment may be used to simulate the growth conditions of sea coast regions and saline/sodic soils. A chemical treatment (EO:0007189) involving use of salts as supplement to liquid and soil growth media to study various types of responses on their application.	NaCl:150mM ; KCl:30mM	Plant Environment Ontology:'EO_0007185'
Watering regime	Treatment involving an exposure to watering frequencies.	20ml every 3 days	Plant Environment Ontology:'EO_0007383'
Water temperature regime	Treatment involving an exposure to water with varying degree of temperature, which may depend on regional environment.	20°C	Plant Environment Ontology:'EO_0007160'
Standing water regime	The treatment involving an exposure to standing water during a plant's life span. This also results in anaerobic soil conditions for either long or short periods.	Flooding water, Deep water	Plant Environment Ontology:'EO_0007282'
Pesticide regime	A chemical treatment (EO:0007189) involving the application of a pesticide; a chemical entity or mixture of chemical entities.	Glyphosfate; 1.68 kg acid equivalent (a.e.) / ha	Plant Environment Ontology:'EO_0007167'
pH regime	The treatment involving exposure of plants to varying levels of pH of the growth media.	acidic pH soil environment	Plant Environment Ontology:'EO_0007171'
Other perturbation			Text
