	MIAPPE				
line #	MIAPPE Check list	Definition	Example	Format	Cardinality
DM-1	Investigation	Investigations are research programmes with defined aims. They can exist at various scales (for example, they could encompass a grant-funded programme of work, the various components comprising a peer-reviewed publication, or a single experiment).			1 per MIAPPE submission
DM-2	Investigation unique ID	Identifier comprising the unique name of the institution/database hosting the submission of the investigation data, and the accession number of the investigation in that institution.	EBI:12345678	Unique identifier	0-1
DM-3	Investigation title	Human-readable string summarising the investigation.	Adaptation of Maize to Temperate Climates: Mid-Density Genome-Wide Association Genetics and Diversity Patterns Reveal Key Genomic Regions, with a Major Contribution of the Vgt2 (ZCN8) Locus.	Free text (short)	1
DM-4	Investigation description	Human-readable text describing the investigation in more detail.	The migration of maize from tropical to temperate climates was accompanied by a dramatic evolution in flowering time. To gain insight into the genetic architecture of this adaptive trait, we conducted a 50K SNP-based genome-wide association and diversity investigation on a panel of tropical and temperate American and European representatives.	Free text	0-1
DM-5	Submission date	Date of submission of the dataset presently being described to a host repository.	2012-12-17	Date/Time (ISO 8601, optional time zone)	0-1
DM-6	Public release date	Date of first public release of the dataset presently being described.	2013-02-25	Date/Time (ISO 8601, optional time zone)	0-1
DM-7	License	License for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC BY-SA 4.0, Unreported	Unique identifier	0-1
DM-8	MIAPPE version	The version of MIAPPE used.	1.1	Version number	1
DM-9	Associated publication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi:10.1371/journal.pone.0071377	DOI	0+
DM-10	Study	A study (or experiment) comprises a series of assays (or measurements) of one or more types, undertaken to answer a particular biological question.			1+ per investigation
DM-11	Study unique ID	Unique identifier comprising the name or identifier for the institution/database hosting the submission of the study data, and the identifier of the study in that institution.	"EBI:12345678
http://phenome-fppn.fr/maugio/2013/t2351"	Unique identifier	0-1
DM-12	Study title	Human-readable text summarising the study	2002 evaluation of flowering time for a panel of 375 maize lines at the experimental station of Maugio (France). 	Free text (short)	1
DM-13	Study description	Human-readable text describing the study	2002 evaluation of male and female flowering time for a panel of 375 maize lines representing the worldwide genetic diversity at the experimental station of Maugio, France. 	Free text	0-1
DM-14	Start date of study	Date and, if relevant, time when the experiment started	"2002-04-04
2006-09-27T10:23:21+00:00"	Date/Time (ISO 8601, optional time zone)	1
DM-15	End date of study	Date and, if relevant, time when the experiment ended	2002-11-27	Date/Time (ISO 8601, optional time zone)	0-1
DM-16	Contact institution	Name and address of the institution responsible for the study.	UMR de Génétique Végétale, INRA – Université Paris-Sud – CNRS, Gif-sur-Yvette, France	Free text (short)	1
DM-17	Geographic location (country)	The country where the experiment took place, either as a full name or preferably as a 2-letter code.	FR	Country name or 2-letter code (ISO 3166)	1
DM-18	Experimental site name	The name of the natural site, experimental field, greenhouse, phenotyping facility, etc. where the experiment took place.	INRA, UE Diascope - Chemin de Mezouls - Domaine expérimental de Melgueil - 34130 Mauguio - France	Free text (short)	1
DM-19	Geographic location (latitude)	Latitude of the experimental site in degrees, in decimal format.	+43.619264	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
DM-20	Geographic location (longitude)	Longitude of the experimental site in degrees, in decimal format.	+3.967454	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
DM-21	Geographic location (altitude)	Altitude of the experimental site, provided in metres (m).	100 m	Numeric + unit abbreviation	0-1
DM-22	Description of the experimental design	"Short description of the experimental design, possibly including statistical design. In specific cases, e.g. legacy datasets or data computed from several studies, the experimental design can be ""unknown""/""NA"", ""aggregated/reduced data"", or simply 'none'."	Lines were repeated twice at each location using a complete block design. In order to limit competition effects, each block was organized into four sub-blocks corresponding to earliness groups based on a priori information. 	Free text	1
DM-23	Type of experimental design	Type of experimental  design of the study, in the form of an accession number from the Crop Ontology.	CO_715:0000145	"Crop Ontology term (subclass of ""CO_715:0000003"")"	0-1
DM-24	Observation unit level hierarchy	Hierarchy of the different levels of repetitions between each others	block>rep>plot	Formatted text (level>level)	0-1
DM-25	Observation unit description	General description of the observation units in the study.	"Observation units consisted in individual plots themselves consisting of a row of 15 plants at a density of approximately six plants per square meter.
NA"	Free text	1
DM-26	Description of growth facility	Short description of the facility in which the study was carried out.	"field environment condition
NA"	Free text (short)	1
DM-27	Type of growth facility	Type of growth facility in which the study was carried out, in the form of an accession number from the Crop Ontology.	CO_715:0000162	"Crop Ontology term (subclass of ""CO_715:0000005"")"	0-1
DM-28	Cultural practices	General description of the cultural practices of the study.	Irrigation was applied according needs during summer to prevent water stress.	Free text	0-1
DM-29	Map of experimental design	Representation of the experimental design.	https://urgi.versailles.inra.fr/files/ephesis/181000503/181000503_plan.xls	URL or File name (of gis or tabular file like csv or tsv)	0+
DM-30	Person	"A human involved in the investigation or specifically any of its studies.
"			1+ per investigation / 0+ per study
DM-31	Person name	The name of the person (either full name or as used in scientific publications)	Ines Chaves	Name	1
DM-32	Person email	The electronic mail address of the person.	ichaves@itqb.unl.pt	email address	0-1
DM-33	Person ID	An identifier for the data submitter. If that submitter is an individual, ORCID identifiers are recommended.	"orcid.org/0000-0001-6494-0008; orcid.org/0000-0002-7054-800X"	Unique identifier	0-1
DM-34	Person role	Type of contribution of the person to the investigation	"data submitter; author; corresponding author"	Free text (short)	1+
DM-35	Person affiliation	The institution the person belongs to	"ITQB, Portugal;
grid.10772.33"	Free text (short)	1+
DM-36	Data File	A file or digital object holding observation data recorded during one or more assays of the study, typically in tabular form. Multiple data files may be provided per study, and each file can include observations for several observation units and several observed variables.			0+ per study
DM-37	Data file link	"Link to the data file (or digital object) in a public database or in a persistent institutional repository; or identifier of the data file when submitted together with the MIAPPE submission."	http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-32551/	URL or File name	1
DM-38	Data file description	Description of the format of the data file. May be a standard file format name, or a description of organization of the data in a tabular file.	"FASTA
tab-delimited
column headers headers: 1. A 2. B 3. C"	Free text (short)	1
DM-39	Data file version	The version of the dataset (the actual data).	1.0	Software version number	1
DM-40	Biological Material	The biological material being studied (e.g. plants grown from a certain bag or seed, or plants grown in a particular field). The original source of that material (e.g., the seeds or the original plant cloned) is called the material source, which, when held by a material repository, should have its stock identified.			"1+ per study;
0+ per observation unit"
DM-41	Biological material ID	Code used to identify the biological material in the data file. Should be unique within the Investigation. Can correspond to experimental plant ID, seed lot ID, etc… This material identification is different from a BiosampleID which corresponds to Observation Unit or Samples sections below.	"INRA:W95115_inra_2001; INRA:inra_kernel_2351; Rothamsted:rres_GK090847"	Unique identifier	1
DM-42	Organism	An identifier for the organism at the species level. Use of the NCBI taxon ID is recommended. 	NCBITAXON:4577 	Unique identifier	1
DM-43	Genus	Genus name for the organism under study, according to standard scientific nomenclature.	"Zea
Solanum"	Genus name	0-1
DM-44	Species	Species name (formally: specific epithet) for the organism under study, according to standard scientific nomenclature.	"mays
lycosperium x pennellii"	Species name	0-1
