MIAPPE Check list	Codename	Definition	Example	Format	Cardinality
INVESTIGATION		Investigations are research programmes with defined aims. They can exist at various scales (for example, they could encompass a grant-funded programme of work, the various components comprising a peer-reviewed publication, or a single experiment).			1 per MIAPPE submission
Investigation unique ID	investigationId	Identifier comprising the unique name of the institution/database hosting the submission of the investigation data, and the accession number of the investigation in that institution.	EBI:12345678	Unique identifier	0-1
Investigation title	investigationTitle	Human-readable string summarising the investigation.	Adaptation of Maize to Temperate Climates: Mid-Density Genome-Wide Association Genetics and Diversity Patterns Reveal Key Genomic Regions, with a Major Contribution of the Vgt2 (ZCN8) Locus.	Free text (short)	1
Investigation description	investigationDescription	Human-readable text describing the investigation in more detail.	The migration of maize from tropical to temperate climates was accompanied by a dramatic evolution in flowering time. To gain insight into the genetic architecture of this adaptive trait, we conducted a 50K SNP-based genome-wide association and diversity investigation on a panel of tropical and temperate American and European representatives.	Free text	0-1
Submission date	submissionDate	Date of submission of the dataset presently being described to a host repository.	41260	Date/Time (ISO 8601, optional time zone)	0-1
Public release date	publicReleaseDate	Date of first public release of the dataset presently being described.	41330	Date/Time (ISO 8601, optional time zone)	0-1
License	license	License for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC BY-SA 4.0 ; Unreported	Unique identifier	0-1
MIAPPE version	miappeVersion	The version of MIAPPE used.	1.1	Version number	1
Associated publication	associatedPublication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi:10.1371/journal.pone.0071377	DOI	0+
STUDY		A study (or experiment) comprises a series of assays (or measurements) of one or more types, undertaken to answer a particular biological question.			1+ per investigation
Study unique ID	studyId	Unique identifier comprising the name or identifier for the institution/database hosting the submission of the study data, and the identifier of the study in that institution.	EBI:12345678 ; http://phenome-fppn.fr/maugio/2013/t2351	Unique identifier	0-1
Study title	studyTitle	Name, human-readable text summarising the study	Maugio 2022	Free text (short)	1
Study description	studyDescription	Human-readable text describing the study	2002 evaluation of male and female flowering time for a panel of 375 maize lines representing the worldwide genetic diversity at the experimental station of Maugio, France.	Free text	0-1
Start date of study	studyStartDate	Date and, if relevant, time when the experiment started	2002-04-04 ; 2006-09-27T10:23:21+00:00	Date/Time (ISO 8601, optional time zone)	1
End date of study	studyEndDate	Date and, if relevant, time when the experiment ended	37587	Date/Time (ISO 8601, optional time zone)	0-1
Contact institution	contactInst	Name and address of the institution responsible for the study.	UMR de Génétique Végétale, INRA – Université Paris-Sud – CNRS, Gif-sur-Yvette, France	Free text (short)	1
